text1,text2,label
One [cool] feature of docstrings is that Python can use them to automatically generate documentation .,cool: of or at a relatively low temperature,0
"Sometimes when it wakes from sleep , I lose my background ( just a teal colour ) and it goes to a [black] background ( which I can revert back to teal right away in my desktop options ) .","black: evil, bad, unsavory",0
Igloo is one of the world ’s leading cool box manufactures meaning you can keep your food [cool] on ice in confidence .,cool: of or at a relatively low temperature,1
"# 62 , I agree , I do n’t really know w/ Lehr ( but based on his stats , I do agree ) particularly , but the whole concept that it ’s [hard] to find starting pitchers , especially # 5 quality pitchers is getting annoying fast .","hard: Firm, solid, resistant to pressure, tangible",0
"If you 're like me with a more adventurous gardening style , I 'd recommend making a miniature forest with a row of [black] spruce tips .","black: evil, bad, unsavory",0
"In the next page , we have the awesome home theatre modern with 6 [black] leather home theatre seating in a row surrounded by geometric soundproof wall decor [ ... ] .","black: evil, bad, unsavory",0
"I know , I know – you may have heard the same thing before from those that think it ’s [cool] to hate Microsoft ; but I ’m not one of those guys .",cool: of or at a relatively low temperature,0
"As a sanity check , I asked my husband who has been married to me for 28 years - "" Would you say marriage is [hard] work ? ""","hard: Firm, solid, resistant to pressure, tangible",0
"After all , it ’s generally well - liked that [black] cars are hotter in the sun and white cars save cooler in the summer , but is it essentially true ?","black: evil, bad, unsavory",0
I have heard of stories wear necklaces would turn [black] because it 's not real Silver .,"black: evil, bad, unsavory",0
"A chrome Lokar shifter rises to within easy reach of the driver and wears a matching leather boot , and the Chevy - branded billet steering wheel also ties into the color scheme with its leather wrapping and sits in front of a stellar dash area that features an assortment of white - faced TPI - Tech gauges , as well as quartet of in - dash vents to bring [cool] air into the cabin via a climate control system that 's functioning at its best .",cool: of or at a relatively low temperature,1
The original fragrance symbolizes timeless elegance and classicism ; Legend Intense from 2013 is its night version ; and the new edition is announced as the ultimate timeless and [cool] scent .,cool: of or at a relatively low temperature,0
"It 's a [hard] decision to make but my favorite character Suigintou , also known as Gin - Sama .","hard: Firm, solid, resistant to pressure, tangible",0
"Without strong headings as organization , it is [hard] to find what kind of work you have done on which projects .","hard: Firm, solid, resistant to pressure, tangible",0
The concept is really [cool] - a friend of ours got into the booth and inspiration led him to answering a few questions we asked him .,cool: of or at a relatively low temperature,0
"These were the really [cool] "" fire balloons "" that everyone was letting off .",cool: of or at a relatively low temperature,0
"The stinger hood is a great addition to this small - block car , because the cool white streak is a [cool] match for the white folding roof making this Sting Ray striking with the top up or down .",cool: of or at a relatively low temperature,0
"For the Red version : small Bibi made of felt in red / pink colour , accompanied by small white PomPoms to garnish the heart , all mounted on a base , also in felt , [black] color .","black: evil, bad, unsavory",0
This is [hard] from some people .,"hard: Firm, solid, resistant to pressure, tangible",0
"That sounds [hard] to believe for a player who permanently had a smile on his face and appeared to ooze confidence , yet the Trinidad and Tobago legend regularly utilised the technique throughout his four seasons as a Red , in which he scored 66 goals in 152 appearances , winning six major trophies .","hard: Firm, solid, resistant to pressure, tangible",0
Reliability : One of the key factors about the operation of an external [hard] drive is its reliability .,"hard: Firm, solid, resistant to pressure, tangible",1
I think this discovery is really [cool] because rome - era tombs are from way back when .,cool: of or at a relatively low temperature,0
"To an Orthodox Jew , Ron Wyatt ’s claim that the Ark was put under Calvary - site of the crucifixion of the Nazarene - is one that seems [hard] to swallow .","hard: Firm, solid, resistant to pressure, tangible",0
"Your declaration may leave an indelible mark on your credit history that is [hard] to entirely escape , but remember , you are not the only one .","hard: Firm, solid, resistant to pressure, tangible",0
How [cool] is that ?,cool: of or at a relatively low temperature,0
You will be amazed at the difference in the taste of canned black beans compared to dry [black] beans made in a slow cooker .,"black: evil, bad, unsavory",0
"Only [hard] copies : Stradivari ’s Genius by Toby Farber ( which I ’m reading again for the third time ) and The Silmarillion by J.R.R.Tolkien ( which is hauntingly beautiful and despite having read it several times , I can never put it down ) .","hard: Firm, solid, resistant to pressure, tangible",1
"During this dynamic period , Li ’s model shows , [black] holes suddenly became a lot more star - friendly .","black: evil, bad, unsavory",0
"To wire the lover , it 's just a make any difference of connecting the [black] wire on the ceiling fan for the black wire in the switch .","black: evil, bad, unsavory",0
"White founders are older than their [black] counterparts – 48 % are over the age of 35 , compared to 36 % of black founders .","black: evil, bad, unsavory",0
"Taking on a bad project — or a [hard] client — costs more in the long run , as you ’ll constantly have to hound the client for payment , prove your worth , and argue against incessant design changes .","hard: Firm, solid, resistant to pressure, tangible",0
I got a BS in Economics and Political Science from TAMU and a [cool] watch from my dad ( on the right . ),cool: of or at a relatively low temperature,0
"Evidence showed that : ( 1 ) the franchisee admitted , while a prospective franchisee , to receiving a "" [black] book "" from the franchisor ; ( 2 ) the franchisor ’s May 28 , 2002 UFOC was bound as a black book ; ( 3 ) the franchisee signed a written acknowledgment of having received the May 28 , 2002 , UFOC ; and ( 4 ) most importantly , the franchisee produced the first two pages of the May 28 , 2002 UFOC in the course of the litigation .","black: evil, bad, unsavory",0
I tried to act [cool] like I was expecting that .,cool: of or at a relatively low temperature,0
By [black] magic you can do anything which you want to in your life .,"black: evil, bad, unsavory",1
In [hard] to reach places like the bottom and around the brick arch use the back of a spoon to smooth .,"hard: Firm, solid, resistant to pressure, tangible",0
"Confrontations and sit - downs had their tragic culmination in 1969 , when the student Jan Palach , 22 years old , immolated himself with petrol at the foot of the statue of Wenceslas in protest at the [hard] repression .","hard: Firm, solid, resistant to pressure, tangible",0
It was [hard] ,"hard: Firm, solid, resistant to pressure, tangible",0
"It could be "" just millions of years between stars and [black] holes , "" says Burns , "" could be a fair bit shorter than that . ""","black: evil, bad, unsavory",0
"This allows you to put one black UV [black] light on each wall of the room , ensuring a bright glow from all directions with no dark spots .","black: evil, bad, unsavory",0
"He has a lovely pinkish nose , ears , feet and tail and little [black] eyes to finish .","black: evil, bad, unsavory",0
"A Russian C2010 - 658 Real Exam prince condescended to sit in a corner for an hour and talk with a massive lady , dressed like Hamlet Certification Answers mother in [black] velvet with a pearl bridle under her chin .","black: evil, bad, unsavory",0
"Not to mention , I ’m so actually impressed concerning the [cool] tips and hints you serve .",cool: of or at a relatively low temperature,0
"I had a Blue - steel colored screen , with a chrome bezel and a [black] back plate .","black: evil, bad, unsavory",0
"That was just the [cool] part , the really cool part ?",cool: of or at a relatively low temperature,0
It was [cool] to see coverage of Johnny Cupcakes in a whole ‘ notha language .,cool: of or at a relatively low temperature,0
person will get crazy and approach ua as [black] magic is done on him / her .,"black: evil, bad, unsavory",1
"A smaller business may simply back up files to a CD or external [hard] disk , or a larger one may back them up to a redundant storage server .","hard: Firm, solid, resistant to pressure, tangible",1
Firstly laburnum trees are [hard] to find in Kerala now - a - days .,"hard: Firm, solid, resistant to pressure, tangible",0
Looking for a dumpster to rent should n't be so [hard] as there are several companies offering the services .,"hard: Firm, solid, resistant to pressure, tangible",0
"There were two pigtails removed from the box , and when I pigtailed the black cable3 wire to the SW2 and SW3 , and then ran the [black] cable4 to SW2 and black cable5 to SW3 , the chandelier light and outside light both work .","black: evil, bad, unsavory",0
"On those days , or the hot summer days where you 're only having a light meal with a [cool] glass of wine , an antipasti platter is always a great option .",cool: of or at a relatively low temperature,1
What ’s so scary about kids with [black] eyes ?,"black: evil, bad, unsavory",0
Lorn are an Italian [black] metal band and this is their latest EP .,"black: evil, bad, unsavory",1
The constant news about Trump and white supremacy is keeping emotions high in the [black] community .,"black: evil, bad, unsavory",0
"Strachan ’s [black] and white digital self - portrait depicts her in profile from the waist up , with her gaze lifted and her hands covering her bare breasts .","black: evil, bad, unsavory",0
"Soils in which the carbonate is evident only as a slight to moderate effervescence ( 1 M HCl ) , and/or contain less than 2 % soft finely divided carbonate , and have less than 20 % [hard] carbonate nodules or concretions .","hard: Firm, solid, resistant to pressure, tangible",1
"Aside from Jean - Paul Hévin ’s chocolates , or ‘ [black] pearls ’ as he calls them ( as each piece is created from the highest - quality ingredients ) , the ‘ Boutique et Bar à Chocolat ’ has now launched a two - course set lunch .","black: evil, bad, unsavory",0
"Following in the tyre ruts of its larger sibling , the Cherokee Night Eagle , which was launched in the UK last November , Jeep has announced a new Renegade ‘ Night Eagle ’ limited edition which is similarly based on the mid - spec Renegade Longitude , but adds 17 - inch black alloy wheels , rear parking sensors , satin grey Jeep badges and unique Night Eagle badging , coloured roof bars and side mirrors , and satin grey grille rings on a [black] front grille .","black: evil, bad, unsavory",0
"The fabric features an exceptional softness both in its hand and silhouette , lending a relaxed feel to the ensemble while a contrasting [black] interior , showcased on the lapels , is perfectly complemented by the maxi - stripe angora scarf underneath .","black: evil, bad, unsavory",0
When I saw the picture itself I could understand why my client had had such a [hard] time viewing and photographing it herself .,"hard: Firm, solid, resistant to pressure, tangible",0
""" soo it looks pretty [cool] but , it slows down my whole kindle . """,cool: of or at a relatively low temperature,0
"Kirin Ichiban ’s machine turns beer into a slushie that you can then use to top off a glass of beer , helping it stay [cool] for up to 30 minutes longer .",cool: of or at a relatively low temperature,1
Blacklane is another provider in the area offering BOI airport transfers which has a [black] car business class ride for those wanting a more luxury type of ride .,"black: evil, bad, unsavory",0
"After the fabric paint dries , you may use a black fabric paint to write [cool] things on the shirt such as ‘ ’ my kids walk all over me ’’ .",cool: of or at a relatively low temperature,0
Get your brand easily noticed in these Cross ® promotional ATX Basalt [black] pen sets !,"black: evil, bad, unsavory",0
This leather jacket will be perfect for formal evenings in [cool] weather- 40 degrees or so .,cool: of or at a relatively low temperature,1
"Many of them are very [cool] additions for your phone , but there ’s also a fair share of low quality ones .",cool: of or at a relatively low temperature,0
"It beats using 25 - year - old [hard] drives , that ’s for sure .","hard: Firm, solid, resistant to pressure, tangible",1
