text1,text2,label
"Jonathan ’s eco - chic kitchen featured a natural bark wall , an oversized island , high ceilings , and unusual [black] cabinets with contemporary Top Knobs fixtures .","black: evil, bad, unsavory",0
"With [hard] drives and ssd now larger and cheaper than ever , you might well wonder just why such tools are still needed .","hard: Firm, solid, resistant to pressure, tangible",1
"The entry - level , 800MHz model is the least attractive of the bunch , given that you can get a similarly configured iMac , with a screen , a larger [hard] drive , and a SuperDrive , for $ 200 more .","hard: Firm, solid, resistant to pressure, tangible",1
"The English starlet , currently working on the remake of Clash of the Titans , was in a form fitting [black] dress , with embellished bodice , from the L'Wren Scott F / W 2008 collection .","black: evil, bad, unsavory",0
"It ’s [hard] to not get caught up in them however , taking a step back and looking at the positives is the best thing to do .","hard: Firm, solid, resistant to pressure, tangible",0
even with all the [cool] stuff going on .,cool: of or at a relatively low temperature,0
"Keep in mind that the airlines just got hit with billions of dollars of losses from the recent “ volcano [black] out”—this after they had already opted for the cannibalization pricing practice of taxing their customers for essentials such as luggage , in - flight entertainment , 1 ounce of padding known as a pillow , and 2 ounces of mysteriously colored air known as a blanket .","black: evil, bad, unsavory",0
"In critical mass I ’m not sure that people understand black film as a [black] cinema — they understand one - off efforts , I think , but the larger context seems to be lost .","black: evil, bad, unsavory",0
"go ahead walk and stomp thru puddles , slush and mud these 100 % waterproof , [black] polyurethane coated totes snow boots can take it and your feet inside will be dry as talcum powder just what you need to get the mail or take a walk .","black: evil, bad, unsavory",0
"In fact it was so tight , it is rather [hard] to clip over the hem sewn on the pockets of blue jeans .","hard: Firm, solid, resistant to pressure, tangible",0
How much do [black] investors own on the JSE ?,"black: evil, bad, unsavory",0
"I 've read a great deal of your blog that detailed the year you lived on an island , and I know that must have been really [hard] to orchstrate , but you made it happen .","hard: Firm, solid, resistant to pressure, tangible",0
"Arthur Bovino , the lead writer for “ Always Hungry “ , a New York City restaurant review , has aptly described The Breslin Restaurant at The Ace Hotel as a ‘ [cool] , cleaned up version of the Edmont Hotel in ‘ The Catcher in the Rye ’ .",cool: of or at a relatively low temperature,0
Tostada Salad - comes with choice of refried or [black] beans .,"black: evil, bad, unsavory",0
"For this reason , I ’ll repeat : collective impact is [hard] .","hard: Firm, solid, resistant to pressure, tangible",0
"If you were known as the [cool] guy or gal before , wait till you arrive at the prom venue in a limo and impress everyone even more .",cool: of or at a relatively low temperature,0
"The bizarre thing is that usually when you see a rare - colored horse ( Fresians are almost always solid [black] - in fact I do n't think the spotted horses can be registered as purebreds ) they are built like mongrels , and their color has come about from poor choices in color - genetic - focused breeding .","black: evil, bad, unsavory",0
Most striking feature is the face pattern : neat gray bordered by 2 strong white stripes and a [black] triangular throat patch .,"black: evil, bad, unsavory",0
