text,text2
Most people dream of this knowing how [hard] life can be these days .,hard: difficult
"Storage : Store in a [cool] , dry place , under 16 degrees Celsius .",cool: of or at a relatively low temperature
"The lighting designer had too much of a fondness for shadows , IMO , which made it [hard] to read the actors ' lips occasionally , but that was only very occasionally necessary — in general , despite not using mics , everyone was easy to hear and understand .",hard: difficult
"But if you set a lot of global - hotkeys , it could be [hard] to remember them and to use fast .",hard: difficult
RED : Red can be very difficult to paint with because so many redpigments have [cool] overtones which are n't apparent until youtry to mix them with other colors .,cool: of or at a relatively low temperature
"On one hand , it is [hard] to sympathize with the stranger 's gaffe , what with it being fairly common knowledge that at the time of this conversation , the Cowboys and the only coach they 've ever had are in Thousand Oaks , Calif. , for training camp .",hard: difficult
"With the allure of [cool] days and pumpkin - everything , there ’s only so much more I can take of ice water and chopped salads for dinner .",cool: of or at a relatively low temperature
"While older potential guardians might be financially situated and have more free time to engage in child raising , they might also have a [hard] time connecting with children .",hard: difficult
A fan 503 is positioned below the bulb 100 and reflector 101 and draws [cool] air into the housing 20 for cooling .,cool: of or at a relatively low temperature
"The magnetic field inhibits convection , or the distribution of heat , resulting in a [cool] sunspot ( Tayler 29 ) .",cool: of or at a relatively low temperature
"The advance in vine development during the first part of the year was soon offset by a dull , [cool] summer , resulting at the end of August in a worrying delay in ripening .",cool: of or at a relatively low temperature
We saw this [cool] Sol LeWitt wall at MASS MoCA .,"cool: trendy, fashonable, interesting"
"They have a very [hard] time figuring out that technology can sometimes have unexpected bad consequences , not to mention fully intended bad consequences like putting people out of work .",hard: difficult
"Kathy Satori is very much a party girl who thinks she knows everything and it 's that mentality that makes her a little [hard] to root for as the story progresses , but there 's a pretty pivotal moment where you instantly feel bad for her .",hard: difficult
"Because of the practical difficulties of obtaining [hard] project - specific defect data , an approach was taken that relied upon accumulated expert knowledge .","hard: Firm, solid, resistant to pressure, tangible"
Late last year I reached out on social media to find out if anyone had a [cool] 911 I could photograph and very soon after Tom at Paul Stephens 911 in Essex reached out and said ' Yes ' .,"cool: trendy, fashonable, interesting"
"The Deluxe kit comes with air conditioning to keep you [cool] , no matter how hot it gets outside .",cool: of or at a relatively low temperature
This stuff is really [cool] and really looks like water .,"cool: trendy, fashonable, interesting"
"What if I train them one minute [hard] and 3 minutes off and he kept playing with these intervals until he discovered that the absolute best results were when he had these athletes performing at 20 seconds of max , did you hear me ?","hard: Forceful, potent, vigorous"
Click here to see all the [cool] products they offer .,"cool: trendy, fashonable, interesting"
"Firstly , they have an internal [hard] drive with storage capacity of 50Gigabytes to eecord and store TV programs at your convenience .","hard: Firm, solid, resistant to pressure, tangible"
I try to at least end with [cool] water since I love a hot shower !,cool: of or at a relatively low temperature
"Are the premises adequately climate controlled — warm enough in winter , [cool] enough in summer ?",cool: of or at a relatively low temperature
Depth and sensitivity can come along as a result of the [hard] times he / she have faced .,hard: difficult
The concept is really [cool] - a friend of ours got into the booth and inspiration led him to answering a few questions we asked him .,"cool: trendy, fashonable, interesting"
“ I 'm hugely grateful to Jack for his [hard] work and loyalty .,"hard: Forceful, potent, vigorous"
"It ’s hard to believe , but May 26 , 2011 marks 10 years of marriage for my wife and I. I remember our wedding day as if it happened just an hour ago and it ’s [hard] to fathom that the next 10 years may pass as quickly .",hard: difficult
"In 1999 , the working group "" Hard metals "" of the German industrial union for powder metallurgy suggested a classification of WC - Co [hard] metals according to grain size , which is today accepted worldwide .","hard: Firm, solid, resistant to pressure, tangible"
Window units are easier to install and remove during [cool] months whereas in - wall units are larger but still can be removed and the hole in the wall can be sealed during the off - season .,cool: of or at a relatively low temperature
That ’s not a strong enough why for anyone to last very long with a [hard] change .,"hard: Forceful, potent, vigorous"
"Even as a diehard lover of the fantasy sci - fi schtick that Warhammer 40 K is peddling , I found the ‘ magical item is prophesised to destroy the world so we have to all kill each over it ’ storyline a little [hard] to look at uncritically .",hard: difficult
